"Name","Year","Average amount of student loans received by full-time freshmen who borrowed","Full-time freshmen who received any student loans (#)","% of full-time freshmen who received any student loans","Per capita amount received in student loans by full-time freshmen  ","Average debt of graduates","Percent of graduates with debt","Per capita debt of graduates","Average debt of graduates in federal loans","Percent of graduates borrowing federal loans","Nonfederal debt of graduates, as percent of total debt","Average percentage of need met of full-time undergraduates"
"Florida - Public, 4-year or above","2013-14","5183","25654","0.32","1658","22947","0.52","11979","22011","0.52","0.05","0.66"
"Florida - Public, 4-year or above","2014-15","5528","25696","0.32","1769","21639","0.51","11099","21350","0.51","0.02","0.62"
"Florida - Public, 4-year or above","2010-11","4963","24278","0.33","1638","20221","0.47","9518","19112","0.46","0.07","0.63"
"Florida - Public, 4-year or above","2009-10","4817","19688","0.3","1445","19114","0.45","8627","17609","0.44","0.1","0.7"
"Florida - Public, 4-year or above","2008-09","4715","13685","0.27","1273","17705","0.44","7755","15732","0.43","0.13","0.65"
"Florida - Public, 4-year or above","2007-08","4265","13112","0.26","1109","15601","0.43","6651","14312","0.42","0.1","0.65"
"Florida - Public, 4-year or above","2003-04","3332","12015","0.28","933","15398","0.46","7022","","","","0.7"
"Florida - Public, 4-year or above","2004-05","3241","10255","0.23","745","17391","0.5","8627","","","","0.7"
"Florida - Public, 4-year or above","2005-06","3291","10143","0.23","757","14815","0.46","6851","","","","0.63"
"Florida - Public, 4-year or above","2006-07","3566","10723","0.22","785","16069","0.44","7050","","","","0.73"
"Florida - Public, 4-year or above","2000-01","2792","9413","0.32","893","","","","","","","0.32"


"Citation: The Institute for College Access & Success, College Insight, http://www.college-insight.org.",,
"Most college-level data are taken directly from U.S. Department of Education sources and the Common Data Set (CDS).",,
"  Derived variables and aggregate figures for states, sectors, and other groupings of colleges were calculated as described under ""About the Data.""",,
"  Student debt and undergraduate financial aid data are licensed from Peterson's Undergraduate Financial Aid",,
"  and Undergraduate Databases, (c) 2019 Peterson's LLC, all rights reserved.",,
"  All data may be reproduced, with attribution, subject to the restrictions of our Creative Commons license (https://creativecommons.org/licenses/by-nc-nd/3.0/). ",,

"Table generated on 1/22/2020"
